group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
siPRRX1/mmMYOD1_med_G1S,MED4,2.7319236,0.23481359,0.006296572888296147,0.022900605519916857,0.6187648456057007,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TRIT1,2.7314265,0.70070636,0.0063060789051440445,0.02293185972915478,0.15914489311163896,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,RBBP5,2.7313714,0.6188826,0.006307135926201799,0.022932384829054953,0.18171021377672208,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZNF268,2.7312472,0.8766736,0.006309514806672307,0.022937715286756616,0.13182897862232779,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TMLHE-AS1,2.729894,1.6290125,0.0063354704938529,0.02302874331976503,0.08788598574821853,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,HSPA2-AS1,2.7291896,4.3370056,0.006349016027372403,0.02307464199245209,0.06294536817102138,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,PRTFDC1,2.7289827,0.33807313,0.006353004964963007,0.023085800254459932,0.30997624703087884,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ATP6V1H,2.728886,0.4845846,0.006354867240895532,0.023089228459980182,0.28028503562945367,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MAK,2.7285132,1.1121507,0.006362054907932739,0.023112001695320787,0.11045130641330166,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ATG4C,2.7282095,1.1737278,0.0063679169337545185,0.023129953268485624,0.1342042755344418,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NDUFAF1,2.7277675,0.49074477,0.006376452193636347,0.023157608140149465,0.1995249406175772,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000249738,2.727243,6.808793,0.006386601184861738,0.0231877639897711,0.060570071258907364,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CXCL16,2.727022,1.5239596,0.006390878791159538,0.023199942540343382,0.08907363420427554,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000235381,2.7262764,6.1964393,0.00640533475214242,0.023249061339279894,0.060570071258907364,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CEP164,2.7257793,0.24370424,0.006414988398031552,0.02328073779112317,0.5237529691211401,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ATP11B,2.7253513,0.47754872,0.006423311747367646,0.02330757799102588,0.2173396674584323,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,LINC00683,2.7251441,1.5313082,0.006427342661652679,0.023318837193475096,0.10451306413301663,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MLF2,2.724371,0.22850758,0.006442411524859656,0.023370133794813546,0.5190023752969121,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CASP6,2.7240257,0.5042624,0.006449148952085855,0.023391197296191303,0.19833729216152018,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,IRGM,2.7214022,3.9262226,0.006500560903961801,0.02357426676212327,0.0665083135391924,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,FAM114A2,2.7169147,0.42475328,0.006589357605562622,0.02388250078069776,0.23871733966745842,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NCOA7,2.7155893,0.33224335,0.00661579466115393,0.023974861298741844,0.6342042755344418,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SHC3,2.7150369,1.2138087,0.006626838220838937,0.024011419006956136,0.10807600950118765,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TXNRD2,2.7140841,0.76473445,0.0066459273242138826,0.0240771138700759,0.17577197149643706,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZER1,2.7136977,0.60689807,0.006653687718237696,0.024101753637577748,0.1828978622327791,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,STPG4,2.711654,1.4339952,0.00669484244446207,0.024243839306015695,0.09619952494061758,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CALCRL-AS1,2.7109914,0.6155789,0.006708238981698392,0.02428885145995925,0.19833729216152018,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,TRMO,2.7108808,0.98006415,0.00671047407916464,0.024293443691290745,0.12470308788598575,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,HAUS3,2.710522,0.859673,0.006717742769823243,0.024316254727761225,0.14489311163895488,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000254731,2.7083817,2.544055,0.006761222393876563,0.024466589330836733,0.07244655581947744,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ENSG00000288321,2.7076774,25.451727,0.006775583795812207,0.024515028023206497,0.05938242280285035,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,ZNF282,2.7074566,0.89106005,0.006780094979899102,0.024527818406983103,0.12589073634204276,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,STN1,2.705979,0.77989435,0.006810332972408971,0.02463366157056177,0.13895486935866982,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SLC30A7,2.7048469,0.32960004,0.006833587974938845,0.024714219722835825,0.2826603325415677,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,MIR4733HG,2.7043083,1.3579191,0.006844673298806104,0.024750748402993204,0.09738717339667459,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,CCNB2,2.703977,0.75524485,0.0068515030649402755,0.024771880433930825,0.1496437054631829,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,EXOSC8,2.7039218,0.19955331,0.006852641954418244,0.024772433754944846,0.6733966745843231,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,GARIN1A,2.7037284,1.6486192,0.006856629407220569,0.02478328304727251,0.08907363420427554,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SCAND3,2.7020302,3.0649905,0.006891751743814738,0.02490665005300974,0.06769596199524941,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,IQGAP3,2.701395,0.56315506,0.006904928397170014,0.024950681731965504,0.1543942992874109,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,KHDC1,2.7003593,1.0395944,0.006926460608813472,0.025017694721613474,0.1187648456057007,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,POLR2C,2.6988268,0.46735096,0.006958438982473489,0.02512597424221782,0.19714964370546317,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,SNX16,2.6987715,0.7086619,0.006959593827771251,0.025126533578194825,0.16389548693586697,Control_G1S,up
siPRRX1/mmMYOD1_med_G1S,NUP54,2.6987164,0.35086393,0.006960748845216863,0.025127093374890004,0.32779097387173395,Control_G1S,up
