group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,reference_group,direction
mmMYOD1_high_G1S,WBP1L,3.6249988,1.5350505,0.0002889626652254589,0.001278354551370657,0.17443609022556392,Control_G1S,up
mmMYOD1_high_G1S,USH2A,3.6249197,7.7443137,0.0002890511987871436,0.0012785211271120127,0.0887218045112782,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000279168,3.6248405,2.832553,0.000289139757759899,0.0012786877565981593,0.10977443609022557,Control_G1S,up
mmMYOD1_high_G1S,LINC02680,3.624223,2.6957233,0.00028983139061108124,0.00128152088391259,0.11729323308270677,Control_G1S,up
mmMYOD1_high_G1S,COX10-DT,3.6226397,1.1249751,0.0002916118966002815,0.0012891667378205265,0.2075187969924812,Control_G1S,up
mmMYOD1_high_G1S,ANKS1A,3.6224656,1.3779026,0.000291808376570501,0.0012898084233005363,0.19699248120300752,Control_G1S,up
mmMYOD1_high_G1S,LINC01204,3.6218638,1.9485017,0.0002924880801290247,0.0012923580934556238,0.14285714285714285,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000260877,3.6204863,1.2400603,0.0002940498321124391,0.0012990302709777375,0.2075187969924812,Control_G1S,up
mmMYOD1_high_G1S,PLXNA4,3.617082,5.579199,0.00029794290213731135,0.001315534922668487,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,LARP6,3.6155462,0.14529477,0.00029971506710527217,0.0013228948192905811,0.750375939849624,Control_G1S,up
mmMYOD1_high_G1S,HEXIM1,3.614216,0.7780853,0.0003012576966551826,0.0013294702145330924,0.3082706766917293,Control_G1S,up
mmMYOD1_high_G1S,ZBED4,3.6136303,1.8173884,0.00030193954449718804,0.0013322452807946166,0.14736842105263157,Control_G1S,up
mmMYOD1_high_G1S,OBI1,3.6123793,0.7448224,0.00030340022183385413,0.0013382202517537452,0.3383458646616541,Control_G1S,up
mmMYOD1_high_G1S,ABCA10,3.6118727,2.860363,0.000303993769520466,0.001340602920412473,0.11428571428571428,Control_G1S,up
mmMYOD1_high_G1S,LINC02934,3.6113503,3.0487642,0.0003046070043128064,0.0013430715571805928,0.10827067669172932,Control_G1S,up
mmMYOD1_high_G1S,TMCC1,3.611002,0.8573428,0.0003050164708584846,0.00134464103153193,0.27518796992481204,Control_G1S,up
mmMYOD1_high_G1S,IQCB1,3.6107485,1.2294612,0.0003053145883845079,0.0013454831597555094,0.19699248120300752,Control_G1S,up
mmMYOD1_high_G1S,H2AC15,3.6101627,3.2446353,0.0003060050304992615,0.0013482893926679718,0.10526315789473684,Control_G1S,up
mmMYOD1_high_G1S,SCYL3,3.6089118,2.013944,0.00030748411406349136,0.0013540940795982144,0.12781954887218044,Control_G1S,up
mmMYOD1_high_G1S,PYGO1,3.6088326,1.4251164,0.0003075779518323171,0.0013542699796114358,0.17593984962406015,Control_G1S,up
mmMYOD1_high_G1S,ZNF7,3.607962,1.6739026,0.0003086119385669972,0.0013585845816943773,0.15338345864661654,Control_G1S,up
mmMYOD1_high_G1S,HECW2-AS1,3.6073127,5.5730877,0.00030938484508479875,0.001361748535170927,0.09022556390977443,Control_G1S,up
mmMYOD1_high_G1S,RAB12,3.6066635,1.6381269,0.0003101595637249288,0.0013647635956938917,0.16090225563909774,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000232611,3.6066475,2.9766924,0.00031017848197261285,0.0013647635956938917,0.10676691729323308,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000289961,3.6065843,2.6109562,0.0003102541657678358,0.001364857611592118,0.11729323308270677,Control_G1S,up
mmMYOD1_high_G1S,WRN,3.6053967,0.9274252,0.00031167644226183185,0.0013708744339498181,0.2706766917293233,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000227598,3.6037025,1.5758883,0.0003137161263534814,0.0013796042742405111,0.1699248120300752,Control_G1S,up
mmMYOD1_high_G1S,SLC39A14,3.6033225,0.69509125,0.000314175338196344,0.0013813819594396732,0.35037593984962406,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000289761,3.6018023,26.226744,0.00031601848582507597,0.0013889999146077503,0.08721804511278196,Control_G1S,up
mmMYOD1_high_G1S,OPA1,3.5993323,0.81752753,0.00031903520477912336,0.001401523885610107,0.3022556390977444,Control_G1S,up
mmMYOD1_high_G1S,SENP2,3.5991423,1.0949041,0.0003192683731237187,0.0014023030379047027,0.24210526315789474,Control_G1S,up
mmMYOD1_high_G1S,ZCCHC2,3.5987148,1.0828708,0.00031979358525385234,0.0014043644198285217,0.23308270676691728,Control_G1S,up
mmMYOD1_high_G1S,SAMD3,3.5974956,1.8384796,0.00032129585784841923,0.0014104686086679034,0.14285714285714285,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000250038,3.5962605,2.8791242,0.00032282437333136353,0.0014166836977070386,0.11578947368421053,Control_G1S,up
mmMYOD1_high_G1S,SDCBP,3.5961814,0.3521459,0.00032292258685280703,0.0014168672537868579,0.5548872180451128,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000223834,3.594614,3.3724618,0.0003248729828094823,0.0014251760321293072,0.1037593984962406,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000224905,3.5929356,1.213233,0.000326973504425469,0.0014333897800424258,0.21804511278195488,Control_G1S,up
mmMYOD1_high_G1S,NCOR1,3.591653,0.25599688,0.0003285871799554204,0.0014399613983117898,0.6075187969924812,Control_G1S,up
mmMYOD1_high_G1S,CTC-338M12.4,3.5842903,1.5725193,0.00033799599993904135,0.0014799030295292266,0.16541353383458646,Control_G1S,up
mmMYOD1_high_G1S,TBX15,3.5841954,1.5692657,0.00033811903509544685,0.0014801838177488482,0.1593984962406015,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000288928,3.5839102,4.402978,0.0003384883920267781,0.0014812846246689097,0.09473684210526316,Control_G1S,up
mmMYOD1_high_G1S,ANK2-AS1,3.5818202,3.3190968,0.00034120856628800517,0.0014929285832639724,0.1037593984962406,Control_G1S,up
mmMYOD1_high_G1S,SFMBT1,3.580411,2.0145931,0.0003430541514333637,0.001500742464696651,0.1293233082706767,Control_G1S,up
mmMYOD1_high_G1S,SF3B3,3.576896,0.9332025,0.0003476985259598892,0.0015207952237284762,0.2631578947368421,Control_G1S,up
mmMYOD1_high_G1S,SCAF4,3.5766742,1.1982032,0.00034799337704614116,0.0015218199753594562,0.20601503759398496,Control_G1S,up
mmMYOD1_high_G1S,ZNF718,3.5763102,1.4572403,0.000348478283042274,0.0015236753604117386,0.1699248120300752,Control_G1S,up
mmMYOD1_high_G1S,NOD1,3.5761676,1.8579292,0.0003486682008511093,0.00152424052731153,0.14135338345864662,Control_G1S,up
mmMYOD1_high_G1S,SCLY,3.57593,2.1393678,0.00034898494568869954,0.0015253598391486592,0.13233082706766916,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000286145,3.5757718,5.9756775,0.0003491962584161968,0.001526018014170816,0.0887218045112782,Control_G1S,up
mmMYOD1_high_G1S,HCP5,3.5749483,4.4641156,0.00035029701516731446,0.001530562232155152,0.09323308270676692,Control_G1S,up
mmMYOD1_high_G1S,ENSG00000288866,3.5739985,4.3620195,0.0003515711516736289,0.001535862291247383,0.09323308270676692,Control_G1S,up
mmMYOD1_high_G1S,KCNE4,3.57384,1.908428,0.0003517839287086113,0.0015365246933060986,0.1548872180451128,Control_G1S,up
mmMYOD1_high_G1S,ZNF629,3.57308,1.7228302,0.0003528069360952632,0.0015404574613730275,0.14586466165413534,Control_G1S,up
mmMYOD1_high_G1S,PIM3,3.5720508,1.8962579,0.00035419669411847633,0.0015462568675832303,0.1518796992481203,Control_G1S,up
mmMYOD1_high_G1S,PKNOX1,3.5716865,1.1042174,0.00035468967980086473,0.0015481400510745404,0.20601503759398496,Control_G1S,up
mmMYOD1_high_G1S,C11orf71,3.5695174,2.0473156,0.0003576394801523736,0.00156074415721932,0.13082706766917293,Control_G1S,up
